Datum,Cijena,Kolicina
01/01/2017,124.959999,181772200
01/02/2017,141.199997,91432000
01/03/2017,142.839996,110692700
01/04/2017,146.699997,149769200
01/05/2017,151.910004,116795800
01/06/2017,163.520004,135675800
01/07/2017,149.800003,185144700
01/08/2017,182.490005,136523100
01/09/2017,175.550003,111427900
01/10/2017,182.110001,208657800
01/11/2017,197.240005,161719700
01/12/2017,186.990005,115103700
